year,month,day,tmax,tmin,precip,snow,snowcover
2016,1,1,39,3,0,0,3
2016,1,2,46,15,0,0,3
2016,1,3,50,19,0,0,3
2016,1,4,45,21,0,0,2
2016,1,5,51,23,0,0,2
2016,1,6,47,24,0,0,2
2016,1,7,42,27,0,0,2
2016,1,8,35,22,0.23,2.5,4
2016,1,9,32,11,-999,-999,3
2016,1,10,33,7,0,0,3
2016,1,11,38,11,0,0,3
2016,1,12,51,19,0,0,2
2016,1,13,52,26,0,0,2
2016,1,14,50,37,0,0,2
2016,1,15,39,23,0,0,1
2016,1,16,39,13,-999,-999,1
2016,1,17,40,16,0,0,1
2016,1,18,54,22,0,0,1
2016,1,19,48,31,0.04,0.6,1
2016,1,20,51,24,0,0,-999
2016,1,21,45,23,0,0,-999
2016,1,22,52,21,0,0,-999
2016,1,23,62,29,0,0,-999
2016,1,24,47,26,0,0,-999
2016,1,25,40,25,-999,-999,-999
2016,1,26,42,15,-999,-999,-999
2016,1,27,56,23,0,0,-999
2016,1,28,63,26,0,0,-999
2016,1,29,57,35,0,0,-999
2016,1,30,63,33,0.02,0.2,-999
2016,1,31,35,21,0.08,0.8,-999
2016,2,1,35,24,0.4,5.4,5
2016,2,2,28,19,0.54,11.2,14
2016,2,3,31,6,0,0,13
2016,2,4,37,12,0,0,9
2016,2,5,42,20,0,0,7
2016,2,6,53,17,0,0,5
2016,2,7,48,29,0,0,5
2016,2,8,48,16,0,0,4
2016,2,9,57,28,0,0,3
2016,2,10,69,35,0,0,1
2016,2,11,65,40,0,0,-999
2016,2,12,57,30,0,0,-999
2016,2,13,67,27,0,0,-999
2016,2,14,57,30,0,0,-999
2016,2,15,58,33,0,0,0
2016,2,16,62,29,0,0,0
2016,2,17,62,32,0,0,0
2016,2,18,73,37,0,0,0
2016,2,19,68,39,0.01,0,0
2016,2,20,64,36,0,0,0
2016,2,21,54,28,0,0,0
2016,2,22,47,25,0,0,0
2016,2,23,42,27,0.49,5.2,2
2016,2,24,51,20,0,0,1
2016,2,25,48,17,0,0,-999
2016,2,26,62,27,0,0,-999
2016,2,27,68,31,0,0,0
2016,2,28,63,39,0,0,0
2016,2,29,61,39,-999,0,0
2016,3,1,57,26,-999,0,0
2016,3,2,59,41,-999,0,0
2016,3,3,63,29,0,0,0
2016,3,4,60,37,0,0,0
2016,3,5,64,31,0,0,0
2016,3,6,68,42,0,0,0
2016,3,7,58,35,0.01,-999,0
2016,3,8,48,27,0,0,0
2016,3,9,56,26,-999,0,0
2016,3,10,68,27,0,0,0
2016,3,11,71,35,0,0,0
2016,3,12,69,36,0,0,0
2016,3,13,66,46,0,0,0
2016,3,14,62,43,-999,0,0
2016,3,15,47,29,-999,0,0
2016,3,16,47,25,0,0,0
2016,3,17,40,28,0.32,3.4,3
2016,3,18,30,21,0.85,10.5,10
2016,3,19,39,15,0.05,1.1,6
2016,3,20,54,14,0,0,4
2016,3,21,72,33,0,0,-999
2016,3,22,70,44,0,0,0
2016,3,23,64,31,2.4,16.4,12
2016,3,24,51,17,0,0,9
2016,3,25,49,32,0,0,5
2016,3,26,39,24,0.06,0.5,5
2016,3,27,53,21,0,0,3
2016,3,28,60,27,0,0,1
2016,3,29,58,33,0.04,0,-999
2016,3,30,49,30,0.1,0.6,-999
2016,3,31,43,25,0.01,-999,-999
2016,4,1,51,22,0,0,0
2016,4,2,64,32,0,0,0
2016,4,3,69,37,0,0,0
2016,4,4,73,43,0,0,0
